command,mean,stddev,median,user,system,min,max
./main < ./140.txt,0.005335196437134909,0.0018981470950252466,0.0060652773000000005,0.003311578859527119,0.002280567343532685,0,0.007048905300000001
./main < ./95000.txt,0.020661726126446272,0.0001672914470674198,0.020637009300000002,0.019643998016528916,0.0014097178512396692,0.020425377300000002,0.021903693300000002
./main < ./27.txt,0.005043063078025033,0.0020933365582439705,0.0059884543,0.0032498994714881785,0.002090572684283726,0,0.0069731213
./main < ./4200.txt,0.0073571293315789505,0.003092737414749166,0.008931120800000001,0.0053282180701754375,0.0023158371929824562,0,0.0097134943
./main < ./7300.txt,0.009049171478571432,0.0038331110251343566,0.0111147928,0.007148271836734691,0.0021708341836734688,0.00041326030000000003,0.011509001299999998
./main < ./79000.txt,0.017518708715254228,0.0007793005001910404,0.0172982998,0.01689672949152542,0.0010920822033898307,0.0170988163,0.0214491533
./main < ./800000.txt,0.24703394364,0.0019331763860582012,0.24655244630000003,0.23833112000000006,0.008625512399999997,0.2447770143,0.2617133333
./main < ./680000.txt,0.20224185342000006,0.0019545386103263173,0.2018424533,0.1956987,0.0065172336,0.1994823423,0.2102882063
./main < ./47.txt,0.0049764544596662,0.0021649731366274218,0.006006487300000001,0.0032771010848400566,0.002027851043115436,0,0.006908737300000001
./main < ./11000.txt,0.010136381691061454,0.005034492536756399,0.013774199300000001,0.008347396648044687,0.0020812891620111736,0.0012348063000000003,0.0141865093
./main < ./280.txt,0.005570246071724136,0.0017530176814667421,0.006168469300000001,0.003461602206896552,0.002382594344827586,0,0.0071593833000000015
./main < ./940000.txt,0.2767119572299999,0.001579046169397044,0.2763880568,0.2675056900000001,0.009067000000000002,0.2738198463,0.2822231353
./main < ./5700.txt,0.00757559298930636,0.003737685453734424,0.0098434043,0.005684068439306361,0.0022402794797687867,0.000014280299999999864,0.0113130333
./main < ./130.txt,0.005504514615753424,0.0017065816849350293,0.0060641173000000005,0.00344092616438356,0.0023322635616438354,0,0.0071642963
./main < ./99000.txt,0.022321103721052626,0.00011339158495434427,0.022304855800000002,0.021343560000000004,0.0014243214035087718,0.022083824300000002,0.0229055323
./main < ./85.txt,0.0050716872496523,0.002114596655829071,0.0060301563000000015,0.0032108470653685666,0.002153219165507648,0,0.0071117223000000005
./main < ./61000.txt,0.014151607002531642,0.0012915100921859497,0.013796838300000001,0.01351257265822785,0.0011203084810126579,0.0129227633,0.0180514513
./main < ./580.txt,0.005452551335883172,0.0020977936191316974,0.0063524343,0.003411251905424202,0.002385113657858135,0,0.007370755300000001
./main < ./980000.txt,0.31008601512999995,0.0013639660530125788,0.3099077443,0.2988900299999999,0.011059500600000001,0.30752936529999997,0.3135725663
./main < ./730.txt,0.0056342032255910935,0.0020711604449315814,0.0064553803,0.003765928734353268,0.0022397860639777464,0,0.007644738300000001
./main < ./60.txt,0.005362395319888732,0.0018061219500520361,0.006027643300000001,0.003290974575799723,0.0023622772183588304,0,0.006607133300000001
./main < ./30.txt,0.005831634641328411,0.0010298221726879856,0.006000064300000001,0.003707922656826566,0.0023851720295202947,0,0.0070925193
./main < ./120000.txt,0.027388837099999987,0.00018909516975023139,0.0273548068,0.02607925,0.0017255382,0.0270697633,0.028150986300000003
./main < ./600.txt,0.005489766588456184,0.00209349832345502,0.006378808300000001,0.003503797440890127,0.0023296902086230873,0,0.0075303913000000005
./main < ./500000.txt,0.13830282366000002,0.001125012561690322,0.13829156780000001,0.13181144999999994,0.0065117824,0.13558845930000002,0.14200610830000002
./main < ./18000.txt,0.009985145132929784,0.005850288006672469,0.008625960300000002,0.008844893849878938,0.0015362194673123493,0.0030127683000000004,0.021435437300000002
